subject_id	population	superpopulation	country_of_recruitment
HG00341	FIN	EUR	Finland
HG00342	FIN	EUR	Finland
HG00343	FIN	EUR	Finland
HG00344	FIN	EUR	Finland
HG00345	FIN	EUR	Finland
HG00346	FIN	EUR	Finland
HG00349	FIN	EUR	Finland
HG00350	FIN	EUR	Finland
HG00351	FIN	EUR	Finland
HG00353	FIN	EUR	Finland
HG00355	FIN	EUR	Finland
HG00356	FIN	EUR	Finland
HG00357	FIN	EUR	Finland
HG00358	FIN	EUR	Finland
HG00360	FIN	EUR	Finland
HG00361	FIN	EUR	Finland
HG00362	FIN	EUR	Finland
HG00364	FIN	EUR	Finland
HG00365	FIN	EUR	Finland
HG00366	FIN	EUR	Finland
HG00367	FIN	EUR	Finland
HG00368	FIN	EUR	Finland
HG00369	FIN	EUR	Finland
HG00371	FIN	EUR	Finland
HG00372	FIN	EUR	Finland
HG00373	FIN	EUR	Finland
HG00375	FIN	EUR	Finland
HG00376	FIN	EUR	Finland
HG00378	FIN	EUR	Finland
HG00379	FIN	EUR	Finland
HG00380	FIN	EUR	Finland
HG00381	FIN	EUR	Finland
HG00382	FIN	EUR	Finland
HG00383	FIN	EUR	Finland
HG00384	FIN	EUR	Finland
HG00403	CHS	EAS	China
HG00404	CHS	EAS	China
HG00406	CHS	EAS	China
HG00407	CHS	EAS	China
HG00409	CHS	EAS	China
HG00410	CHS	EAS	China
HG00419	CHS	EAS	China
HG00421	CHS	EAS	China
HG00422	CHS	EAS	China
HG00428	CHS	EAS	China
HG00436	CHS	EAS	China
HG00437	CHS	EAS	China
HG00442	CHS	EAS	China
HG00443	CHS	EAS	China
HG00445	CHS	EAS	China
HG00446	CHS	EAS	China
HG00448	CHS	EAS	China
HG00449	CHS	EAS	China
HG00451	CHS	EAS	China
HG00452	CHS	EAS	China
HG00457	CHS	EAS	China
HG00458	CHS	EAS	China
HG00463	CHS	EAS	China
HG00464	CHS	EAS	China
HG00472	CHS	EAS	China
HG00473	CHS	EAS	China
HG00475	CHS	EAS	China
HG00476	CHS	EAS	China
HG00478	CHS	EAS	China
HG00479	CHS	EAS	China
HG00500	CHS	EAS	China
HG00513	CHS	EAS	China
HG00524	CHS	EAS	China
HG00525	CHS	EAS	China
HG00530	CHS	EAS	China
HG00531	CHS	EAS	China
HG00533	CHS	EAS	China
HG00534	CHS	EAS	China
HG00536	CHS	EAS	China
HG00537	CHS	EAS	China
HG00542	CHS	EAS	China
HG00543	CHS	EAS	China
HG00551	PUR	AMR	USA
HG00553	PUR	AMR	USA
HG00554	PUR	AMR	USA
HG00556	CHS	EAS	China
HG00557	CHS	EAS	China
HG00559	CHS	EAS	China
HG00560	CHS	EAS	China
HG00565	CHS	EAS	China
HG00566	CHS	EAS	China
HG00580	CHS	EAS	China
HG00581	CHS	EAS	China
HG00583	CHS	EAS	China
HG00584	CHS	EAS	China
HG00589	CHS	EAS	China
HG00590	CHS	EAS	China
HG00592	CHS	EAS	China
HG00593	CHS	EAS	China
HG00595	CHS	EAS	China
HG00596	CHS	EAS	China
HG00598	CHS	EAS	China
HG00599	CHS	EAS	China
HG00607	CHS	EAS	China
HG00608	CHS	EAS	China
HG00610	CHS	EAS	China
HG00611	CHS	EAS	China
HG00613	CHS	EAS	China
HG00614	CHS	EAS	China
HG00619	CHS	EAS	China
HG00620	CHS	EAS	China
HG00622	CHS	EAS	China
HG00623	CHS	EAS	China
HG00625	CHS	EAS	China
HG00626	CHS	EAS	China
HG00628	CHS	EAS	China
HG00629	CHS	EAS	China
HG00631	CHS	EAS	China
HG00632	CHS	EAS	China
HG00634	CHS	EAS	China
HG00637	PUR	AMR	USA
HG00638	PUR	AMR	USA
HG00640	PUR	AMR	USA
HG00641	PUR	AMR	USA
HG00650	CHS	EAS	China
HG00651	CHS	EAS	China
HG00653	CHS	EAS	China
HG00654	CHS	EAS	China
HG00656	CHS	EAS	China
HG00657	CHS	EAS	China
HG00662	CHS	EAS	China
HG00663	CHS	EAS	China
HG00671	CHS	EAS	China
HG00672	CHS	EAS	China
HG00674	CHS	EAS	China
HG00675	CHS	EAS	China
HG00683	CHS	EAS	China
HG00684	CHS	EAS	China
HG00689	CHS	EAS	China
HG00690	CHS	EAS	China
HG00692	CHS	EAS	China
HG00693	CHS	EAS	China
HG00698	CHS	EAS	China
HG00699	CHS	EAS	China
HG00701	CHS	EAS	China
HG00704	CHS	EAS	China
HG00705	CHS	EAS	China
HG00707	CHS	EAS	China
HG00708	CHS	EAS	China
HG00717	CHS	EAS	China
HG00728	CHS	EAS	China
HG00729	CHS	EAS	China
HG00731	PUR	AMR	USA
HG00732	PUR	AMR	USA
HG00734	PUR	AMR	USA
HG00736	PUR	AMR	USA
HG00737	PUR	AMR	USA
HG00739	PUR	AMR	USA
HG00740	PUR	AMR	USA
HG00742	PUR	AMR	USA
HG00743	PUR	AMR	USA
HG00759	CDX	EAS	China
HG00766	CDX	EAS	China
HG00844	CDX	EAS	China
HG00851	CDX	EAS	China
HG00864	CDX	EAS	China
HG00867	CDX	EAS	China
HG00879	CDX	EAS	China
HG00881	CDX	EAS	China
HG00956	CDX	EAS	China
HG00978	CDX	EAS	China
HG00982	CDX	EAS	China
HG01028	CDX	EAS	China
HG01029	CDX	EAS	China
HG01031	CDX	EAS	China
HG01046	CDX	EAS	China
HG01047	PUR	AMR	USA
HG01048	PUR	AMR	USA
HG01049	PUR	AMR	USA
HG01051	PUR	AMR	USA
HG01052	PUR	AMR	USA
HG01054	PUR	AMR	USA
HG01055	PUR	AMR	USA
HG01058	PUR	AMR	USA
HG01060	PUR	AMR	USA
HG01061	PUR	AMR	USA
HG01063	PUR	AMR	USA
HG01064	PUR	AMR	USA
HG01066	PUR	AMR	USA
HG01067	PUR	AMR	USA
HG01069	PUR	AMR	USA
HG01070	PUR	AMR	USA
HG01072	PUR	AMR	USA
HG01073	PUR	AMR	USA
HG01075	PUR	AMR	USA
HG01077	PUR	AMR	USA
HG01079	PUR	AMR	USA
HG01080	PUR	AMR	USA
HG01082	PUR	AMR	USA
HG01083	PUR	AMR	USA
HG01085	PUR	AMR	USA
HG01086	PUR	AMR	USA
HG01088	PUR	AMR	USA
HG01089	PUR	AMR	USA
HG01092	PUR	AMR	USA
HG01094	PUR	AMR	USA
HG01095	PUR	AMR	USA
HG01097	PUR	AMR	USA
HG01098	PUR	AMR	USA
HG01101	PUR	AMR	USA
HG01102	PUR	AMR	USA
HG01104	PUR	AMR	USA
HG01105	PUR	AMR	USA
HG01107	PUR	AMR	USA
HG01108	PUR	AMR	USA
HG01110	PUR	AMR	USA
HG01111	PUR	AMR	USA
HG01112	CLM	AMR	Columbia
HG01113	CLM	AMR	Columbia
HG01119	CLM	AMR	Columbia
HG01121	CLM	AMR	Columbia
HG01122	CLM	AMR	Columbia
HG01124	CLM	AMR	Columbia
HG01125	CLM	AMR	Columbia
HG01130	CLM	AMR	Columbia
HG01131	CLM	AMR	Columbia
HG01133	CLM	AMR	Columbia
HG01134	CLM	AMR	Columbia
HG01136	CLM	AMR	Columbia
HG01137	CLM	AMR	Columbia
HG01139	CLM	AMR	Columbia
HG01140	CLM	AMR	Columbia
HG01142	CLM	AMR	Columbia
HG01148	CLM	AMR	Columbia
HG01149	CLM	AMR	Columbia
HG01161	PUR	AMR	USA
HG01162	PUR	AMR	USA
HG01164	PUR	AMR	USA
HG01167	PUR	AMR	USA
HG01168	PUR	AMR	USA
HG01170	PUR	AMR	USA
HG01171	PUR	AMR	USA
HG01173	PUR	AMR	USA
HG01174	PUR	AMR	USA
HG01176	PUR	AMR	USA
HG01177	PUR	AMR	USA
HG01182	PUR	AMR	USA
HG01183	PUR	AMR	USA
HG01187	PUR	AMR	USA
HG01188	PUR	AMR	USA
HG01190	PUR	AMR	USA
HG01191	PUR	AMR	USA
HG01197	PUR	AMR	USA
HG01198	PUR	AMR	USA
HG01200	PUR	AMR	USA
HG01204	PUR	AMR	USA
HG01205	PUR	AMR	USA
HG01241	PUR	AMR	USA
HG01242	PUR	AMR	USA
HG01247	PUR	AMR	USA
HG01248	PUR	AMR	USA
HG01250	CLM	AMR	Columbia
HG01251	CLM	AMR	Columbia
HG01253	CLM	AMR	Columbia
HG01254	CLM	AMR	Columbia
HG01256	CLM	AMR	Columbia
HG01257	CLM	AMR	Columbia
HG01259	CLM	AMR	Columbia
HG01260	CLM	AMR	Columbia
HG01269	CLM	AMR	Columbia
HG01271	CLM	AMR	Columbia
HG01272	CLM	AMR	Columbia
HG01275	CLM	AMR	Columbia
HG01277	CLM	AMR	Columbia
HG01280	CLM	AMR	Columbia
HG01281	CLM	AMR	Columbia
HG01284	CLM	AMR	Columbia
HG01286	PUR	AMR	USA
HG01302	PUR	AMR	USA
HG01303	PUR	AMR	USA
HG01305	PUR	AMR	USA
HG01308	PUR	AMR	USA
HG01311	PUR	AMR	USA
HG01312	PUR	AMR	USA
HG01323	PUR	AMR	USA
HG01325	PUR	AMR	USA
HG01326	PUR	AMR	USA
HG01334	GBR	EUR	UK
HG01341	CLM	AMR	Columbia
HG01342	CLM	AMR	Columbia
HG01344	CLM	AMR	Columbia
HG01345	CLM	AMR	Columbia
HG01348	CLM	AMR	Columbia
HG01350	CLM	AMR	Columbia
HG01351	CLM	AMR	Columbia
HG01353	CLM	AMR	Columbia
HG01354	CLM	AMR	Columbia
HG01356	CLM	AMR	Columbia
HG01357	CLM	AMR	Columbia
HG01359	CLM	AMR	Columbia
HG01360	CLM	AMR	Columbia
HG01362	CLM	AMR	Columbia
HG01363	CLM	AMR	Columbia
HG01365	CLM	AMR	Columbia
HG01366	CLM	AMR	Columbia
HG01369	CLM	AMR	Columbia
HG01372	CLM	AMR	Columbia
HG01374	CLM	AMR	Columbia
HG01375	CLM	AMR	Columbia
HG01377	CLM	AMR	Columbia
HG01378	CLM	AMR	Columbia
HG01383	CLM	AMR	Columbia
HG01384	CLM	AMR	Columbia
HG01389	CLM	AMR	Columbia
HG01390	CLM	AMR	Columbia
HG01392	PUR	AMR	USA
HG01393	PUR	AMR	USA
HG01395	PUR	AMR	USA
HG01396	PUR	AMR	USA
HG01398	PUR	AMR	USA
HG01402	PUR	AMR	USA
HG01403	PUR	AMR	USA
HG01405	PUR	AMR	USA
HG01412	PUR	AMR	USA
HG01413	PUR	AMR	USA
HG01414	PUR	AMR	USA
HG01431	CLM	AMR	Columbia
HG01432	CLM	AMR	Columbia
HG01435	CLM	AMR	Columbia
HG01437	CLM	AMR	Columbia
HG01438	CLM	AMR	Columbia
HG01440	CLM	AMR	Columbia
HG01441	CLM	AMR	Columbia
HG01443	CLM	AMR	Columbia
HG01444	CLM	AMR	Columbia
HG01447	CLM	AMR	Columbia
HG01455	CLM	AMR	Columbia
HG01456	CLM	AMR	Columbia
HG01459	CLM	AMR	Columbia
HG01461	CLM	AMR	Columbia
HG01462	CLM	AMR	Columbia
HG01464	CLM	AMR	Columbia
HG01465	CLM	AMR	Columbia
HG01468	CLM	AMR	Columbia
HG01474	CLM	AMR	Columbia
HG01479	CLM	AMR	Columbia
HG01485	CLM	AMR	Columbia
HG01486	CLM	AMR	Columbia
HG01488	CLM	AMR	Columbia
HG01489	CLM	AMR	Columbia
HG01491	CLM	AMR	Columbia
HG01492	CLM	AMR	Columbia
HG01494	CLM	AMR	Columbia
HG01495	CLM	AMR	Columbia
HG01497	CLM	AMR	Columbia
HG01498	CLM	AMR	Columbia
HG01500	IBS	EUR	Spain
HG01501	IBS	EUR	Spain
HG01503	IBS	EUR	Spain
HG01504	IBS	EUR	Spain
HG01506	IBS	EUR	Spain
HG01507	IBS	EUR	Spain
HG01509	IBS	EUR	Spain
HG01510	IBS	EUR	Spain
HG01512	IBS	EUR	Spain
HG01513	IBS	EUR	Spain
HG01515	IBS	EUR	Spain
HG01516	IBS	EUR	Spain
HG01518	IBS	EUR	Spain
HG01519	IBS	EUR	Spain
HG01521	IBS	EUR	Spain
HG01522	IBS	EUR	Spain
HG01524	IBS	EUR	Spain
HG01525	IBS	EUR	Spain
HG01527	IBS	EUR	Spain
HG01528	IBS	EUR	Spain
HG01530	IBS	EUR	Spain
HG01531	IBS	EUR	Spain
HG01536	IBS	EUR	Spain
HG01537	IBS	EUR	Spain
HG01550	CLM	AMR	Columbia
HG01551	CLM	AMR	Columbia
HG01556	CLM	AMR	Columbia
HG01565	PEL	AMR	Peru
HG01566	PEL	AMR	Peru
HG01571	PEL	AMR	Peru
HG01572	PEL	AMR	Peru
HG01577	PEL	AMR	Peru
HG01578	PEL	AMR	Peru
HG01583	PJL	SAS	Pakistan
HG01586	PJL	SAS	Pakistan
HG01589	PJL	SAS	Pakistan
HG01593	PJL	SAS	Pakistan
HG01595	KHV	EAS	Vietnam
HG01596	KHV	EAS	Vietnam
HG01597	KHV	EAS	Vietnam
HG01598	KHV	EAS	Vietnam
HG01599	KHV	EAS	Vietnam
HG01600	KHV	EAS	Vietnam
HG01602	IBS	EUR	Spain
HG01603	IBS	EUR	Spain
HG01605	IBS	EUR	Spain
HG01606	IBS	EUR	Spain
HG01607	IBS	EUR	Spain
HG01608	IBS	EUR	Spain
HG01610	IBS	EUR	Spain
HG01612	IBS	EUR	Spain
HG01613	IBS	EUR	Spain
HG01615	IBS	EUR	Spain
HG01617	IBS	EUR	Spain
HG01618	IBS	EUR	Spain
HG01619	IBS	EUR	Spain
HG01620	IBS	EUR	Spain
HG01623	IBS	EUR	Spain
HG01624	IBS	EUR	Spain
HG01625	IBS	EUR	Spain
HG01626	IBS	EUR	Spain
HG01628	IBS	EUR	Spain
HG01630	IBS	EUR	Spain
HG01631	IBS	EUR	Spain
HG01632	IBS	EUR	Spain
HG01668	IBS	EUR	Spain
HG01669	IBS	EUR	Spain
HG01670	IBS	EUR	Spain
HG01672	IBS	EUR	Spain
HG01673	IBS	EUR	Spain
HG01675	IBS	EUR	Spain
HG01676	IBS	EUR	Spain
HG01678	IBS	EUR	Spain
HG01679	IBS	EUR	Spain
HG01680	IBS	EUR	Spain
HG01682	IBS	EUR	Spain
HG01684	IBS	EUR	Spain
HG01685	IBS	EUR	Spain
HG01686	IBS	EUR	Spain
HG01694	IBS	EUR	Spain
HG01695	IBS	EUR	Spain
HG01697	IBS	EUR	Spain
HG01699	IBS	EUR	Spain
HG01700	IBS	EUR	Spain
HG01702	IBS	EUR	Spain
HG01704	IBS	EUR	Spain
HG01705	IBS	EUR	Spain
HG01707	IBS	EUR	Spain
HG01708	IBS	EUR	Spain
HG01709	IBS	EUR	Spain
HG01710	IBS	EUR	Spain
HG01746	IBS	EUR	Spain
HG01747	IBS	EUR	Spain
HG01756	IBS	EUR	Spain
HG01757	IBS	EUR	Spain
HG01761	IBS	EUR	Spain
HG01762	IBS	EUR	Spain
HG01765	IBS	EUR	Spain
HG01766	IBS	EUR	Spain
HG01767	IBS	EUR	Spain
HG01768	IBS	EUR	Spain
HG01770	IBS	EUR	Spain
HG01771	IBS	EUR	Spain
HG01773	IBS	EUR	Spain
HG01775	IBS	EUR	Spain
HG01776	IBS	EUR	Spain
HG01777	IBS	EUR	Spain
HG01779	IBS	EUR	Spain
HG01781	IBS	EUR	Spain
HG01783	IBS	EUR	Spain
HG01784	IBS	EUR	Spain
HG01785	IBS	EUR	Spain
HG01786	IBS	EUR	Spain
HG01789	GBR	EUR	UK
HG01790	GBR	EUR	UK
HG01791	GBR	EUR	UK
HG01794	CDX	EAS	China
HG01795	CDX	EAS	China
HG01796	CDX	EAS	China
HG01797	CDX	EAS	China
HG01798	CDX	EAS	China
HG01799	CDX	EAS	China
HG01800	CDX	EAS	China
HG01801	CDX	EAS	China
HG01802	CDX	EAS	China
HG01804	CDX	EAS	China
HG01805	CDX	EAS	China
HG01806	CDX	EAS	China
HG01807	CDX	EAS	China
HG01808	CDX	EAS	China
HG01809	CDX	EAS	China
HG01810	CDX	EAS	China
HG01811	CDX	EAS	China
HG01812	CDX	EAS	China
HG01813	CDX	EAS	China
HG01815	CDX	EAS	China
HG01816	CDX	EAS	China
HG01817	CDX	EAS	China
HG01840	KHV	EAS	Vietnam
HG01841	KHV	EAS	Vietnam
HG01842	KHV	EAS	Vietnam
HG01843	KHV	EAS	Vietnam
HG01844	KHV	EAS	Vietnam
HG01845	KHV	EAS	Vietnam
HG01846	KHV	EAS	Vietnam
HG01847	KHV	EAS	Vietnam
HG01848	KHV	EAS	Vietnam
HG01849	KHV	EAS	Vietnam
HG01850	KHV	EAS	Vietnam
HG01851	KHV	EAS	Vietnam
HG01852	KHV	EAS	Vietnam
HG01853	KHV	EAS	Vietnam
HG01855	KHV	EAS	Vietnam
HG01857	KHV	EAS	Vietnam
HG01858	KHV	EAS	Vietnam
HG01859	KHV	EAS	Vietnam
HG01860	KHV	EAS	Vietnam
HG01861	KHV	EAS	Vietnam
HG01862	KHV	EAS	Vietnam
HG01863	KHV	EAS	Vietnam
HG01864	KHV	EAS	Vietnam
HG01865	KHV	EAS	Vietnam
HG01866	KHV	EAS	Vietnam
HG01867	KHV	EAS	Vietnam
HG01868	KHV	EAS	Vietnam
HG01869	KHV	EAS	Vietnam
HG01870	KHV	EAS	Vietnam
HG01871	KHV	EAS	Vietnam
HG01872	KHV	EAS	Vietnam
HG01873	KHV	EAS	Vietnam
HG01874	KHV	EAS	Vietnam
HG01878	KHV	EAS	Vietnam
HG01879	ACB	AFR	Barbados
HG01880	ACB	AFR	Barbados
HG01882	ACB	AFR	Barbados
HG01883	ACB	AFR	Barbados
HG01885	ACB	AFR	Barbados
HG01886	ACB	AFR	Barbados
HG01889	ACB	AFR	Barbados
HG01890	ACB	AFR	Barbados
HG01892	PEL	AMR	Peru
HG01893	PEL	AMR	Peru
HG01894	ACB	AFR	Barbados
HG01896	ACB	AFR	Barbados
HG01912	ACB	AFR	Barbados
HG01914	ACB	AFR	Barbados
HG01915	ACB	AFR	Barbados
HG01917	PEL	AMR	Peru
HG01918	PEL	AMR	Peru
HG01920	PEL	AMR	Peru
HG01921	PEL	AMR	Peru
HG01923	PEL	AMR	Peru
HG01924	PEL	AMR	Peru
HG01926	PEL	AMR	Peru
HG01927	PEL	AMR	Peru
HG01932	PEL	AMR	Peru
HG01933	PEL	AMR	Peru
HG01935	PEL	AMR	Peru
HG01936	PEL	AMR	Peru
HG01938	PEL	AMR	Peru
HG01939	PEL	AMR	Peru
HG01941	PEL	AMR	Peru
HG01942	PEL	AMR	Peru
HG01944	PEL	AMR	Peru
HG01945	PEL	AMR	Peru
HG01947	PEL	AMR	Peru
HG01948	PEL	AMR	Peru
HG01950	PEL	AMR	Peru
HG01951	PEL	AMR	Peru
HG01953	PEL	AMR	Peru
HG01954	PEL	AMR	Peru
HG01956	ACB	AFR	Barbados
HG01958	ACB	AFR	Barbados
HG01961	PEL	AMR	Peru
HG01965	PEL	AMR	Peru
HG01967	PEL	AMR	Peru
HG01968	PEL	AMR	Peru
HG01970	PEL	AMR	Peru
HG01971	PEL	AMR	Peru
HG01973	PEL	AMR	Peru
HG01974	PEL	AMR	Peru
HG01976	PEL	AMR	Peru
HG01977	PEL	AMR	Peru
HG01979	PEL	AMR	Peru
HG01980	PEL	AMR	Peru
HG01982	PEL	AMR	Peru
HG01985	ACB	AFR	Barbados
HG01986	ACB	AFR	Barbados
HG01988	ACB	AFR	Barbados
HG01989	ACB	AFR	Barbados
HG01990	ACB	AFR	Barbados
HG01991	PEL	AMR	Peru
HG01992	PEL	AMR	Peru
HG01997	PEL	AMR	Peru
HG02002	PEL	AMR	Peru
HG02003	PEL	AMR	Peru
HG02006	PEL	AMR	Peru
HG02008	PEL	AMR	Peru
HG02009	ACB	AFR	Barbados
HG02010	ACB	AFR	Barbados
HG02012	ACB	AFR	Barbados
HG02013	ACB	AFR	Barbados
HG02014	ACB	AFR	Barbados
HG02016	KHV	EAS	Vietnam
HG02017	KHV	EAS	Vietnam
HG02019	KHV	EAS	Vietnam
HG02020	KHV	EAS	Vietnam
HG02023	KHV	EAS	Vietnam
HG02025	KHV	EAS	Vietnam
HG02026	KHV	EAS	Vietnam
HG02028	KHV	EAS	Vietnam
HG02029	KHV	EAS	Vietnam
HG02031	KHV	EAS	Vietnam
HG02032	KHV	EAS	Vietnam
HG02035	KHV	EAS	Vietnam
HG02040	KHV	EAS	Vietnam
HG02047	KHV	EAS	Vietnam
HG02048	KHV	EAS	Vietnam
HG02049	KHV	EAS	Vietnam
HG02050	KHV	EAS	Vietnam
HG02051	ACB	AFR	Barbados
HG02052	ACB	AFR	Barbados
HG02053	ACB	AFR	Barbados
HG02054	ACB	AFR	Barbados
HG02057	KHV	EAS	Vietnam
HG02058	KHV	EAS	Vietnam
HG02060	KHV	EAS	Vietnam
HG02061	KHV	EAS	Vietnam
HG02064	KHV	EAS	Vietnam
HG02067	KHV	EAS	Vietnam
HG02069	KHV	EAS	Vietnam
HG02070	KHV	EAS	Vietnam
HG02072	KHV	EAS	Vietnam
HG02073	KHV	EAS	Vietnam
HG02075	KHV	EAS	Vietnam
HG02076	KHV	EAS	Vietnam
HG02078	KHV	EAS	Vietnam
HG02079	KHV	EAS	Vietnam
HG02081	KHV	EAS	Vietnam
HG02082	KHV	EAS	Vietnam
HG02084	KHV	EAS	Vietnam
HG02085	KHV	EAS	Vietnam
HG02086	KHV	EAS	Vietnam
HG02087	KHV	EAS	Vietnam
HG02088	KHV	EAS	Vietnam
HG02089	PEL	AMR	Peru
HG02090	PEL	AMR	Peru
HG02095	ACB	AFR	Barbados
HG02102	PEL	AMR	Peru
HG02104	PEL	AMR	Peru
HG02105	PEL	AMR	Peru
HG02107	ACB	AFR	Barbados
HG02108	ACB	AFR	Barbados
HG02111	ACB	AFR	Barbados
HG02113	KHV	EAS	Vietnam
HG02116	KHV	EAS	Vietnam
HG02121	KHV	EAS	Vietnam
HG02122	KHV	EAS	Vietnam
HG02127	KHV	EAS	Vietnam
HG02128	KHV	EAS	Vietnam
HG02130	KHV	EAS	Vietnam
HG02131	KHV	EAS	Vietnam
HG02133	KHV	EAS	Vietnam
HG02134	KHV	EAS	Vietnam
HG02136	KHV	EAS	Vietnam
HG02137	KHV	EAS	Vietnam
HG02138	KHV	EAS	Vietnam
HG02139	KHV	EAS	Vietnam
HG02140	KHV	EAS	Vietnam
HG02141	KHV	EAS	Vietnam
HG02142	KHV	EAS	Vietnam
HG02143	ACB	AFR	Barbados
HG02144	ACB	AFR	Barbados
HG02146	PEL	AMR	Peru
HG02147	PEL	AMR	Peru
HG02150	PEL	AMR	Peru
HG02151	CDX	EAS	China
HG02152	CDX	EAS	China
HG02153	CDX	EAS	China
HG02154	CDX	EAS	China
HG02155	CDX	EAS	China
HG02156	CDX	EAS	China
HG02164	CDX	EAS	China
HG02165	CDX	EAS	China
HG02166	CDX	EAS	China
HG02178	CDX	EAS	China
HG02179	CDX	EAS	China
HG02180	CDX	EAS	China
HG02181	CDX	EAS	China
HG02182	CDX	EAS	China
