subject_id	population_descriptor	population_label	country_of_recruitment
HG00143	population | superpopulation	GBR | EUR	UK
HG00145	population | superpopulation	GBR | EUR	UK
HG00146	population | superpopulation	GBR | EUR	UK
HG00148	population | superpopulation	GBR | EUR	UK
HG00149	population | superpopulation	GBR | EUR	UK
HG00150	population | superpopulation	GBR | EUR	UK
HG00151	population | superpopulation	GBR | EUR	UK
HG00154	population | superpopulation	GBR | EUR	UK
HG00155	population | superpopulation	GBR | EUR	UK
HG00157	population | superpopulation	GBR | EUR	UK
HG00158	population | superpopulation	GBR | EUR	UK
HG00159	population | superpopulation	GBR | EUR	UK
HG00160	population | superpopulation	GBR | EUR	UK
HG00171	population | superpopulation	FIN | EUR	Finland
HG00173	population | superpopulation	FIN | EUR	Finland
HG00174	population | superpopulation	FIN | EUR	Finland
HG00176	population | superpopulation	FIN | EUR	Finland
HG00177	population | superpopulation	FIN | EUR	Finland
HG00178	population | superpopulation	FIN | EUR	Finland
HG00179	population | superpopulation	FIN | EUR	Finland
HG00180	population | superpopulation	FIN | EUR	Finland
HG00181	population | superpopulation	FIN | EUR	Finland
HG00182	population | superpopulation	FIN | EUR	Finland
HG00183	population | superpopulation	FIN | EUR	Finland
HG00185	population | superpopulation	FIN | EUR	Finland
HG00186	population | superpopulation	FIN | EUR	Finland
HG00187	population | superpopulation	FIN | EUR	Finland
HG00188	population | superpopulation	FIN | EUR	Finland
HG00189	population | superpopulation	FIN | EUR	Finland
HG00190	population | superpopulation	FIN | EUR	Finland
HG00231	population | superpopulation	GBR | EUR	UK
HG00232	population | superpopulation	GBR | EUR	UK
HG00233	population | superpopulation	GBR | EUR	UK
HG00234	population | superpopulation	GBR | EUR	UK
HG00235	population | superpopulation	GBR | EUR	UK
HG00236	population | superpopulation	GBR | EUR	UK
HG00237	population | superpopulation	GBR | EUR	UK
HG00238	population | superpopulation	GBR | EUR	UK
HG00239	population | superpopulation	GBR | EUR	UK
HG00240	population | superpopulation	GBR | EUR	UK
HG00242	population | superpopulation	GBR | EUR	UK
HG00243	population | superpopulation	GBR | EUR	UK
HG00244	population | superpopulation	GBR | EUR	UK
HG00245	population | superpopulation	GBR | EUR	UK
HG00246	population | superpopulation	GBR | EUR	UK
HG00250	population | superpopulation	GBR | EUR	UK
HG00251	population | superpopulation	GBR | EUR	UK
HG00252	population | superpopulation	GBR | EUR	UK
HG00253	population | superpopulation	GBR | EUR	UK
HG00254	population | superpopulation	GBR | EUR	UK
HG00255	population | superpopulation	GBR | EUR	UK
HG00256	population | superpopulation	GBR | EUR	UK
HG00257	population | superpopulation	GBR | EUR	UK
HG00258	population | superpopulation	GBR | EUR	UK
HG00259	population | superpopulation	GBR | EUR	UK
HG00260	population | superpopulation	GBR | EUR	UK
HG00261	population | superpopulation	GBR | EUR	UK
HG00262	population | superpopulation	GBR | EUR	UK
HG00263	population | superpopulation	GBR | EUR	UK
HG00264	population | superpopulation	GBR | EUR	UK
HG00265	population | superpopulation	GBR | EUR	UK
HG00266	population | superpopulation	FIN | EUR	Finland
HG00267	population | superpopulation	FIN | EUR	Finland
HG00268	population | superpopulation	FIN | EUR	Finland
HG00269	population | superpopulation	FIN | EUR	Finland
HG00271	population | superpopulation	FIN | EUR	Finland
HG00272	population | superpopulation	FIN | EUR	Finland
HG00273	population | superpopulation	FIN | EUR	Finland
HG00274	population | superpopulation	FIN | EUR	Finland
HG00275	population | superpopulation	FIN | EUR	Finland
HG00276	population | superpopulation	FIN | EUR	Finland
HG00277	population | superpopulation	FIN | EUR	Finland
HG00278	population | superpopulation	FIN | EUR	Finland
HG00280	population | superpopulation	FIN | EUR	Finland
HG00281	population | superpopulation	FIN | EUR	Finland
HG00282	population | superpopulation	FIN | EUR	Finland
HG00284	population | superpopulation	FIN | EUR	Finland
HG00285	population | superpopulation	FIN | EUR	Finland
HG00288	population | superpopulation	FIN | EUR	Finland
HG00290	population | superpopulation	FIN | EUR	Finland
HG00304	population | superpopulation	FIN | EUR	Finland
HG00306	population | superpopulation	FIN | EUR	Finland
HG00308	population | superpopulation	FIN | EUR	Finland
HG00309	population | superpopulation	FIN | EUR	Finland
HG00310	population | superpopulation	FIN | EUR	Finland
HG00311	population | superpopulation	FIN | EUR	Finland
HG00313	population | superpopulation	FIN | EUR	Finland
HG00315	population | superpopulation	FIN | EUR	Finland
HG00318	population | superpopulation	FIN | EUR	Finland
HG00319	population | superpopulation	FIN | EUR	Finland
HG00320	population | superpopulation	FIN | EUR	Finland
HG00321	population | superpopulation	FIN | EUR	Finland
HG00323	population | superpopulation	FIN | EUR	Finland
HG00324	population | superpopulation	FIN | EUR	Finland
HG00325	population | superpopulation	FIN | EUR	Finland
HG00326	population | superpopulation	FIN | EUR	Finland
HG00327	population | superpopulation	FIN | EUR	Finland
HG00328	population | superpopulation	FIN | EUR	Finland
HG00329	population | superpopulation	FIN | EUR	Finland
HG00330	population | superpopulation	FIN | EUR	Finland
HG00331	population | superpopulation	FIN | EUR	Finland
HG00332	population | superpopulation	FIN | EUR	Finland
HG00334	population | superpopulation	FIN | EUR	Finland
HG00335	population | superpopulation	FIN | EUR	Finland
HG00336	population | superpopulation	FIN | EUR	Finland
HG00337	population | superpopulation	FIN | EUR	Finland
HG00338	population | superpopulation	FIN | EUR	Finland
HG00339	population | superpopulation	FIN | EUR	Finland
HG00341	population | superpopulation	FIN | EUR	Finland
HG00342	population | superpopulation	FIN | EUR	Finland
HG00343	population | superpopulation	FIN | EUR	Finland
HG00344	population | superpopulation	FIN | EUR	Finland
HG00345	population | superpopulation	FIN | EUR	Finland
HG00346	population | superpopulation	FIN | EUR	Finland
HG00349	population | superpopulation	FIN | EUR	Finland
HG00350	population | superpopulation	FIN | EUR	Finland
HG00351	population | superpopulation	FIN | EUR	Finland
HG00353	population | superpopulation	FIN | EUR	Finland
HG00355	population | superpopulation	FIN | EUR	Finland
HG00356	population | superpopulation	FIN | EUR	Finland
HG00357	population | superpopulation	FIN | EUR	Finland
HG00358	population | superpopulation	FIN | EUR	Finland
HG00360	population | superpopulation	FIN | EUR	Finland
HG00361	population | superpopulation	FIN | EUR	Finland
HG00362	population | superpopulation	FIN | EUR	Finland
HG00364	population | superpopulation	FIN | EUR	Finland
HG00365	population | superpopulation	FIN | EUR	Finland
HG00366	population | superpopulation	FIN | EUR	Finland
HG00367	population | superpopulation	FIN | EUR	Finland
HG00368	population | superpopulation	FIN | EUR	Finland
HG00369	population | superpopulation	FIN | EUR	Finland
HG00371	population | superpopulation	FIN | EUR	Finland
HG00372	population | superpopulation	FIN | EUR	Finland
HG00373	population | superpopulation	FIN | EUR	Finland
HG00375	population | superpopulation	FIN | EUR	Finland
HG00376	population | superpopulation	FIN | EUR	Finland
HG00378	population | superpopulation	FIN | EUR	Finland
HG00379	population | superpopulation	FIN | EUR	Finland
HG00380	population | superpopulation	FIN | EUR	Finland
HG00381	population | superpopulation	FIN | EUR	Finland
HG00382	population | superpopulation	FIN | EUR	Finland
HG00383	population | superpopulation	FIN | EUR	Finland
HG00384	population | superpopulation	FIN | EUR	Finland
HG00403	population | superpopulation	CHS | EAS	China
HG00404	population | superpopulation	CHS | EAS	China
HG00406	population | superpopulation	CHS | EAS	China
HG00407	population | superpopulation	CHS | EAS	China
HG00409	population | superpopulation	CHS | EAS	China
HG00410	population | superpopulation	CHS | EAS	China
HG00419	population | superpopulation	CHS | EAS	China
HG00421	population | superpopulation	CHS | EAS	China
HG00422	population | superpopulation	CHS | EAS	China
HG00428	population | superpopulation	CHS | EAS	China
HG00436	population | superpopulation	CHS | EAS	China
HG00437	population | superpopulation	CHS | EAS	China
HG00442	population | superpopulation	CHS | EAS	China
HG00443	population | superpopulation	CHS | EAS	China
HG00445	population | superpopulation	CHS | EAS	China
HG00446	population | superpopulation	CHS | EAS	China
HG00448	population | superpopulation	CHS | EAS	China
HG00449	population | superpopulation	CHS | EAS	China
HG00451	population | superpopulation	CHS | EAS	China
HG00452	population | superpopulation	CHS | EAS	China
HG00457	population | superpopulation	CHS | EAS	China
HG00458	population | superpopulation	CHS | EAS	China
HG00463	population | superpopulation	CHS | EAS	China
HG00464	population | superpopulation	CHS | EAS	China
HG00472	population | superpopulation	CHS | EAS	China
HG00473	population | superpopulation	CHS | EAS	China
HG00475	population | superpopulation	CHS | EAS	China
HG00476	population | superpopulation	CHS | EAS	China
HG00478	population | superpopulation	CHS | EAS	China
HG00479	population | superpopulation	CHS | EAS	China
HG00500	population | superpopulation	CHS | EAS	China
HG00513	population | superpopulation	CHS | EAS	China
HG00524	population | superpopulation	CHS | EAS	China
HG00525	population | superpopulation	CHS | EAS	China
HG00530	population | superpopulation	CHS | EAS	China
HG00531	population | superpopulation	CHS | EAS	China
HG00533	population | superpopulation	CHS | EAS	China
HG00534	population | superpopulation	CHS | EAS	China
HG00536	population | superpopulation	CHS | EAS	China
HG00537	population | superpopulation	CHS | EAS	China
HG00542	population | superpopulation	CHS | EAS	China
HG00543	population | superpopulation	CHS | EAS	China
HG00551	population | superpopulation	PUR | AMR	USA
HG00553	population | superpopulation	PUR | AMR	USA
HG00554	population | superpopulation	PUR | AMR	USA
HG00556	population | superpopulation	CHS | EAS	China
HG00557	population | superpopulation	CHS | EAS	China
HG00559	population | superpopulation	CHS | EAS	China
HG00560	population | superpopulation	CHS | EAS	China
HG00565	population | superpopulation	CHS | EAS	China
HG00566	population | superpopulation	CHS | EAS	China
HG00580	population | superpopulation	CHS | EAS	China
HG00581	population | superpopulation	CHS | EAS	China
HG00583	population | superpopulation	CHS | EAS	China
HG00584	population | superpopulation	CHS | EAS	China
HG00589	population | superpopulation	CHS | EAS	China
HG00590	population | superpopulation	CHS | EAS	China
HG00592	population | superpopulation	CHS | EAS	China
HG00593	population | superpopulation	CHS | EAS	China
HG00595	population | superpopulation	CHS | EAS	China
HG00596	population | superpopulation	CHS | EAS	China
HG00598	population | superpopulation	CHS | EAS	China
HG00599	population | superpopulation	CHS | EAS	China
HG00607	population | superpopulation	CHS | EAS	China
HG00608	population | superpopulation	CHS | EAS	China
HG00610	population | superpopulation	CHS | EAS	China
HG00611	population | superpopulation	CHS | EAS	China
HG00613	population | superpopulation	CHS | EAS	China
HG00614	population | superpopulation	CHS | EAS	China
HG00619	population | superpopulation	CHS | EAS	China
HG00620	population | superpopulation	CHS | EAS	China
HG00622	population | superpopulation	CHS | EAS	China
HG00623	population | superpopulation	CHS | EAS	China
HG00625	population | superpopulation	CHS | EAS	China
HG00626	population | superpopulation	CHS | EAS	China
HG00628	population | superpopulation	CHS | EAS	China
HG00629	population | superpopulation	CHS | EAS	China
HG00631	population | superpopulation	CHS | EAS	China
HG00632	population | superpopulation	CHS | EAS	China
HG00634	population | superpopulation	CHS | EAS	China
HG00637	population | superpopulation	PUR | AMR	USA
HG00638	population | superpopulation	PUR | AMR	USA
HG00640	population | superpopulation	PUR | AMR	USA
HG00641	population | superpopulation	PUR | AMR	USA
HG00650	population | superpopulation	CHS | EAS	China
HG00651	population | superpopulation	CHS | EAS	China
HG00653	population | superpopulation	CHS | EAS	China
HG00654	population | superpopulation	CHS | EAS	China
HG00656	population | superpopulation	CHS | EAS	China
HG00657	population | superpopulation	CHS | EAS	China
HG00662	population | superpopulation	CHS | EAS	China
HG00663	population | superpopulation	CHS | EAS	China
HG00671	population | superpopulation	CHS | EAS	China
HG00672	population | superpopulation	CHS | EAS	China
HG00674	population | superpopulation	CHS | EAS	China
HG00675	population | superpopulation	CHS | EAS	China
HG00683	population | superpopulation	CHS | EAS	China
HG00684	population | superpopulation	CHS | EAS	China
HG00689	population | superpopulation	CHS | EAS	China
HG00690	population | superpopulation	CHS | EAS	China
HG00692	population | superpopulation	CHS | EAS	China
HG00693	population | superpopulation	CHS | EAS	China
HG00698	population | superpopulation	CHS | EAS	China
HG00699	population | superpopulation	CHS | EAS	China
HG00701	population | superpopulation	CHS | EAS	China
HG00704	population | superpopulation	CHS | EAS	China
HG00705	population | superpopulation	CHS | EAS	China
HG00707	population | superpopulation	CHS | EAS	China
HG00708	population | superpopulation	CHS | EAS	China
HG00717	population | superpopulation	CHS | EAS	China
HG00728	population | superpopulation	CHS | EAS	China
HG00729	population | superpopulation	CHS | EAS	China
HG00731	population | superpopulation	PUR | AMR	USA
HG00732	population | superpopulation	PUR | AMR	USA
HG00734	population | superpopulation	PUR | AMR	USA
HG00736	population | superpopulation	PUR | AMR	USA
HG00737	population | superpopulation	PUR | AMR	USA
HG00739	population | superpopulation	PUR | AMR	USA
HG00740	population | superpopulation	PUR | AMR	USA
HG00742	population | superpopulation	PUR | AMR	USA
HG00743	population | superpopulation	PUR | AMR	USA
HG00759	population | superpopulation	CDX | EAS	China
HG00766	population | superpopulation	CDX | EAS	China
HG00844	population | superpopulation	CDX | EAS	China
HG00851	population | superpopulation	CDX | EAS	China
HG00864	population | superpopulation	CDX | EAS	China
HG00867	population | superpopulation	CDX | EAS	China
HG00879	population | superpopulation	CDX | EAS	China
HG00881	population | superpopulation	CDX | EAS	China
HG00956	population | superpopulation	CDX | EAS	China
HG00978	population | superpopulation	CDX | EAS	China
HG00982	population | superpopulation	CDX | EAS	China
HG01028	population | superpopulation	CDX | EAS	China
HG01029	population | superpopulation	CDX | EAS	China
HG01031	population | superpopulation	CDX | EAS	China
HG01046	population | superpopulation	CDX | EAS	China
HG01047	population | superpopulation	PUR | AMR	USA
HG01048	population | superpopulation	PUR | AMR	USA
HG01049	population | superpopulation	PUR | AMR	USA
HG01051	population | superpopulation	PUR | AMR	USA
HG01052	population | superpopulation	PUR | AMR	USA
HG01054	population | superpopulation	PUR | AMR	USA
HG01055	population | superpopulation	PUR | AMR	USA
HG01058	population | superpopulation	PUR | AMR	USA
HG01060	population | superpopulation	PUR | AMR	USA
HG01061	population | superpopulation	PUR | AMR	USA
HG01063	population | superpopulation	PUR | AMR	USA
HG01064	population | superpopulation	PUR | AMR	USA
HG01066	population | superpopulation	PUR | AMR	USA
HG01067	population | superpopulation	PUR | AMR	USA
HG01069	population | superpopulation	PUR | AMR	USA
HG01070	population | superpopulation	PUR | AMR	USA
HG01072	population | superpopulation	PUR | AMR	USA
HG01073	population | superpopulation	PUR | AMR	USA
HG01075	population | superpopulation	PUR | AMR	USA
HG01077	population | superpopulation	PUR | AMR	USA
HG01079	population | superpopulation	PUR | AMR	USA
HG01080	population | superpopulation	PUR | AMR	USA
HG01082	population | superpopulation	PUR | AMR	USA
HG01083	population | superpopulation	PUR | AMR	USA
HG01085	population | superpopulation	PUR | AMR	USA
HG01086	population | superpopulation	PUR | AMR	USA
HG01088	population | superpopulation	PUR | AMR	USA
HG01089	population | superpopulation	PUR | AMR	USA
HG01092	population | superpopulation	PUR | AMR	USA
HG01094	population | superpopulation	PUR | AMR	USA
HG01095	population | superpopulation	PUR | AMR	USA
HG01097	population | superpopulation	PUR | AMR	USA
HG01098	population | superpopulation	PUR | AMR	USA
HG01101	population | superpopulation	PUR | AMR	USA
HG01102	population | superpopulation	PUR | AMR	USA
HG01104	population | superpopulation	PUR | AMR	USA
HG01105	population | superpopulation	PUR | AMR	USA
HG01107	population | superpopulation	PUR | AMR	USA
HG01108	population | superpopulation	PUR | AMR	USA
HG01110	population | superpopulation	PUR | AMR	USA
HG01111	population | superpopulation	PUR | AMR	USA
HG01112	population | superpopulation	CLM | AMR	Columbia
HG01113	population | superpopulation	CLM | AMR	Columbia
HG01119	population | superpopulation	CLM | AMR	Columbia
HG01121	population | superpopulation	CLM | AMR	Columbia
HG01122	population | superpopulation	CLM | AMR	Columbia
HG01124	population | superpopulation	CLM | AMR	Columbia
HG01125	population | superpopulation	CLM | AMR	Columbia
HG01130	population | superpopulation	CLM | AMR	Columbia
HG01131	population | superpopulation	CLM | AMR	Columbia
HG01133	population | superpopulation	CLM | AMR	Columbia
HG01134	population | superpopulation	CLM | AMR	Columbia
HG01136	population | superpopulation	CLM | AMR	Columbia
HG01137	population | superpopulation	CLM | AMR	Columbia
HG01139	population | superpopulation	CLM | AMR	Columbia
HG01140	population | superpopulation	CLM | AMR	Columbia
HG01142	population | superpopulation	CLM | AMR	Columbia
HG01148	population | superpopulation	CLM | AMR	Columbia
HG01149	population | superpopulation	CLM | AMR	Columbia
HG01161	population | superpopulation	PUR | AMR	USA
HG01162	population | superpopulation	PUR | AMR	USA
HG01164	population | superpopulation	PUR | AMR	USA
HG01167	population | superpopulation	PUR | AMR	USA
HG01168	population | superpopulation	PUR | AMR	USA
HG01170	population | superpopulation	PUR | AMR	USA
HG01171	population | superpopulation	PUR | AMR	USA
HG01173	population | superpopulation	PUR | AMR	USA
HG01174	population | superpopulation	PUR | AMR	USA
HG01176	population | superpopulation	PUR | AMR	USA
HG01177	population | superpopulation	PUR | AMR	USA
HG01182	population | superpopulation	PUR | AMR	USA
HG01183	population | superpopulation	PUR | AMR	USA
HG01187	population | superpopulation	PUR | AMR	USA
HG01188	population | superpopulation	PUR | AMR	USA
HG01190	population | superpopulation	PUR | AMR	USA
HG01191	population | superpopulation	PUR | AMR	USA
HG01197	population | superpopulation	PUR | AMR	USA
HG01198	population | superpopulation	PUR | AMR	USA
HG01200	population | superpopulation	PUR | AMR	USA
HG01204	population | superpopulation	PUR | AMR	USA
HG01205	population | superpopulation	PUR | AMR	USA
HG01241	population | superpopulation	PUR | AMR	USA
HG01242	population | superpopulation	PUR | AMR	USA
HG01247	population | superpopulation	PUR | AMR	USA
HG01248	population | superpopulation	PUR | AMR	USA
HG01250	population | superpopulation	CLM | AMR	Columbia
HG01251	population | superpopulation	CLM | AMR	Columbia
HG01253	population | superpopulation	CLM | AMR	Columbia
HG01254	population | superpopulation	CLM | AMR	Columbia
HG01256	population | superpopulation	CLM | AMR	Columbia
HG01257	population | superpopulation	CLM | AMR	Columbia
HG01259	population | superpopulation	CLM | AMR	Columbia
HG01260	population | superpopulation	CLM | AMR	Columbia
HG01269	population | superpopulation	CLM | AMR	Columbia
HG01271	population | superpopulation	CLM | AMR	Columbia
HG01272	population | superpopulation	CLM | AMR	Columbia
HG01275	population | superpopulation	CLM | AMR	Columbia
HG01277	population | superpopulation	CLM | AMR	Columbia
HG01280	population | superpopulation	CLM | AMR	Columbia
HG01281	population | superpopulation	CLM | AMR	Columbia
HG01284	population | superpopulation	CLM | AMR	Columbia
HG01286	population | superpopulation	PUR | AMR	USA
HG01302	population | superpopulation	PUR | AMR	USA
HG01303	population | superpopulation	PUR | AMR	USA
HG01305	population | superpopulation	PUR | AMR	USA
HG01308	population | superpopulation	PUR | AMR	USA
HG01311	population | superpopulation	PUR | AMR	USA
HG01312	population | superpopulation	PUR | AMR	USA
HG01323	population | superpopulation	PUR | AMR	USA
HG01325	population | superpopulation	PUR | AMR	USA
HG01326	population | superpopulation	PUR | AMR	USA
HG01334	population | superpopulation	GBR | EUR	UK
HG01341	population | superpopulation	CLM | AMR	Columbia
HG01342	population | superpopulation	CLM | AMR	Columbia
HG01344	population | superpopulation	CLM | AMR	Columbia
HG01345	population | superpopulation	CLM | AMR	Columbia
HG01348	population | superpopulation	CLM | AMR	Columbia
HG01350	population | superpopulation	CLM | AMR	Columbia
HG01351	population | superpopulation	CLM | AMR	Columbia
HG01353	population | superpopulation	CLM | AMR	Columbia
HG01354	population | superpopulation	CLM | AMR	Columbia
HG01356	population | superpopulation	CLM | AMR	Columbia
HG01357	population | superpopulation	CLM | AMR	Columbia
HG01359	population | superpopulation	CLM | AMR	Columbia
HG01360	population | superpopulation	CLM | AMR	Columbia
HG01362	population | superpopulation	CLM | AMR	Columbia
HG01363	population | superpopulation	CLM | AMR	Columbia
HG01365	population | superpopulation	CLM | AMR	Columbia
HG01366	population | superpopulation	CLM | AMR	Columbia
HG01369	population | superpopulation	CLM | AMR	Columbia
HG01372	population | superpopulation	CLM | AMR	Columbia
HG01374	population | superpopulation	CLM | AMR	Columbia
HG01375	population | superpopulation	CLM | AMR	Columbia
HG01377	population | superpopulation	CLM | AMR	Columbia
HG01378	population | superpopulation	CLM | AMR	Columbia
HG01383	population | superpopulation	CLM | AMR	Columbia
HG01384	population | superpopulation	CLM | AMR	Columbia
HG01389	population | superpopulation	CLM | AMR	Columbia
HG01390	population | superpopulation	CLM | AMR	Columbia
HG01392	population | superpopulation	PUR | AMR	USA
HG01393	population | superpopulation	PUR | AMR	USA
HG01395	population | superpopulation	PUR | AMR	USA
HG01396	population | superpopulation	PUR | AMR	USA
HG01398	population | superpopulation	PUR | AMR	USA
HG01402	population | superpopulation	PUR | AMR	USA
HG01403	population | superpopulation	PUR | AMR	USA
HG01405	population | superpopulation	PUR | AMR	USA
HG01412	population | superpopulation	PUR | AMR	USA
HG01413	population | superpopulation	PUR | AMR	USA
HG01414	population | superpopulation	PUR | AMR	USA
HG01431	population | superpopulation	CLM | AMR	Columbia
HG01432	population | superpopulation	CLM | AMR	Columbia
HG01435	population | superpopulation	CLM | AMR	Columbia
HG01437	population | superpopulation	CLM | AMR	Columbia
HG01438	population | superpopulation	CLM | AMR	Columbia
HG01440	population | superpopulation	CLM | AMR	Columbia
HG01441	population | superpopulation	CLM | AMR	Columbia
HG01443	population | superpopulation	CLM | AMR	Columbia
HG01444	population | superpopulation	CLM | AMR	Columbia
HG01447	population | superpopulation	CLM | AMR	Columbia
HG01455	population | superpopulation	CLM | AMR	Columbia
HG01456	population | superpopulation	CLM | AMR	Columbia
HG01459	population | superpopulation	CLM | AMR	Columbia
HG01461	population | superpopulation	CLM | AMR	Columbia
HG01462	population | superpopulation	CLM | AMR	Columbia
HG01464	population | superpopulation	CLM | AMR	Columbia
HG01465	population | superpopulation	CLM | AMR	Columbia
HG01468	population | superpopulation	CLM | AMR	Columbia
HG01474	population | superpopulation	CLM | AMR	Columbia
HG01479	population | superpopulation	CLM | AMR	Columbia
HG01485	population | superpopulation	CLM | AMR	Columbia
HG01486	population | superpopulation	CLM | AMR	Columbia
HG01488	population | superpopulation	CLM | AMR	Columbia
HG01489	population | superpopulation	CLM | AMR	Columbia
HG01491	population | superpopulation	CLM | AMR	Columbia
HG01492	population | superpopulation	CLM | AMR	Columbia
HG01494	population | superpopulation	CLM | AMR	Columbia
HG01495	population | superpopulation	CLM | AMR	Columbia
HG01497	population | superpopulation	CLM | AMR	Columbia
HG01498	population | superpopulation	CLM | AMR	Columbia
HG01500	population | superpopulation	IBS | EUR	Spain
HG01501	population | superpopulation	IBS | EUR	Spain
HG01503	population | superpopulation	IBS | EUR	Spain
HG01504	population | superpopulation	IBS | EUR	Spain
HG01506	population | superpopulation	IBS | EUR	Spain
HG01507	population | superpopulation	IBS | EUR	Spain
HG01509	population | superpopulation	IBS | EUR	Spain
HG01510	population | superpopulation	IBS | EUR	Spain
HG01512	population | superpopulation	IBS | EUR	Spain
HG01513	population | superpopulation	IBS | EUR	Spain
HG01515	population | superpopulation	IBS | EUR	Spain
HG01516	population | superpopulation	IBS | EUR	Spain
HG01518	population | superpopulation	IBS | EUR	Spain
HG01519	population | superpopulation	IBS | EUR	Spain
HG01521	population | superpopulation	IBS | EUR	Spain
HG01522	population | superpopulation	IBS | EUR	Spain
HG01524	population | superpopulation	IBS | EUR	Spain
HG01525	population | superpopulation	IBS | EUR	Spain
HG01527	population | superpopulation	IBS | EUR	Spain
HG01528	population | superpopulation	IBS | EUR	Spain
HG01530	population | superpopulation	IBS | EUR	Spain
HG01531	population | superpopulation	IBS | EUR	Spain
HG01536	population | superpopulation	IBS | EUR	Spain
HG01537	population | superpopulation	IBS | EUR	Spain
HG01550	population | superpopulation	CLM | AMR	Columbia
HG01551	population | superpopulation	CLM | AMR	Columbia
HG01556	population | superpopulation	CLM | AMR	Columbia
HG01565	population | superpopulation	PEL | AMR	Peru
HG01566	population | superpopulation	PEL | AMR	Peru
HG01571	population | superpopulation	PEL | AMR	Peru
HG01572	population | superpopulation	PEL | AMR	Peru
HG01577	population | superpopulation	PEL | AMR	Peru
HG01578	population | superpopulation	PEL | AMR	Peru
HG01583	population | superpopulation	PJL | SAS	Pakistan
HG01586	population | superpopulation	PJL | SAS	Pakistan
HG01589	population | superpopulation	PJL | SAS	Pakistan
HG01593	population | superpopulation	PJL | SAS	Pakistan
HG01595	population | superpopulation	KHV | EAS	Vietnam
HG01596	population | superpopulation	KHV | EAS	Vietnam
HG01597	population | superpopulation	KHV | EAS	Vietnam
HG01598	population | superpopulation	KHV | EAS	Vietnam
HG01599	population | superpopulation	KHV | EAS	Vietnam
HG01600	population | superpopulation	KHV | EAS	Vietnam
HG01602	population | superpopulation	IBS | EUR	Spain
HG01603	population | superpopulation	IBS | EUR	Spain
HG01605	population | superpopulation	IBS | EUR	Spain
HG01606	population | superpopulation	IBS | EUR	Spain
HG01607	population | superpopulation	IBS | EUR	Spain
HG01608	population | superpopulation	IBS | EUR	Spain
HG01610	population | superpopulation	IBS | EUR	Spain
HG01612	population | superpopulation	IBS | EUR	Spain
HG01613	population | superpopulation	IBS | EUR	Spain
HG01615	population | superpopulation	IBS | EUR	Spain
HG01617	population | superpopulation	IBS | EUR	Spain
HG01618	population | superpopulation	IBS | EUR	Spain
HG01619	population | superpopulation	IBS | EUR	Spain
HG01620	population | superpopulation	IBS | EUR	Spain
HG01623	population | superpopulation	IBS | EUR	Spain
HG01624	population | superpopulation	IBS | EUR	Spain
HG01625	population | superpopulation	IBS | EUR	Spain
HG01626	population | superpopulation	IBS | EUR	Spain
HG01628	population | superpopulation	IBS | EUR	Spain
HG01630	population | superpopulation	IBS | EUR	Spain
HG01631	population | superpopulation	IBS | EUR	Spain
HG01632	population | superpopulation	IBS | EUR	Spain
HG01668	population | superpopulation	IBS | EUR	Spain
HG01669	population | superpopulation	IBS | EUR	Spain
HG01670	population | superpopulation	IBS | EUR	Spain
HG01672	population | superpopulation	IBS | EUR	Spain
